codcfo,valorm2
00006460,106.330000
00017781,106.330000
00018358,106.330000
00023282,106.330000
00020569,106.330000
00000754,106.460000
00003141,106.510000
00001848,106.540000
00003133,106.610000
00003057,106.670000
00001847,106.670000
00000724,106.670000
00004570,106.750000
00003074,106.760000
00000809,106.820000
00003026,107.050000
00003811,107.070000
00001843,107.190000
00000305,107.240000
00000294,107.290000
00000836,107.370000
00003333,107.390000
00005208,107.480000
00001836,107.620000
00001839,107.620000
00000817,107.640000
00023225,107.740000
00001838,107.750000
00012351,107.770000
00000513,107.780000
00000366,107.810000
00000258,107.810000
00000404,107.870000
00003185,107.880000
00000828,107.910000
00001837,107.980000
00014676,108.180000
00000456,108.200000
00001814,108.260000
00000953,108.380000
00006729,108.410000
00000383,108.600000
00000391,108.600000
00000891,108.860000
00000411,108.890000
00000418,108.890000
00000367,108.890000
00000380,108.890000
00000374,108.890000
00000377,108.890000
00000338,108.890000
00000349,108.890000
00000345,108.890000
00000317,108.890000
00000312,108.890000
00000327,108.890000
00000331,108.890000
00000336,108.890000
00003548,108.890000
00003375,108.890000
00005382,108.890000
00005383,108.890000
00005387,108.890000
00012011,108.890000
00023333,108.890000
00019291,108.890000
00025738,108.890000
00025474,108.890000
00015808,108.910000
00004410,108.920000
00023152,108.930000
00000368,108.950000
00016083,108.950000
00013773,109.010000
00000239,109.020000
00000385,109.160000
00000949,109.170000
00000150,109.200000
00000421,109.290000
00005241,109.390000
00004227,109.620000
00003070,109.670000
00000771,109.670000
00000761,109.670000
00000926,109.670000
00000936,109.670000
00000881,109.670000
00000884,109.670000
00000916,109.670000
00000841,109.670000
00000860,109.670000
00000864,109.670000
00000844,109.670000
00000818,109.670000
00000807,109.670000
00000804,109.670000
00001150,109.670000
00000964,109.670000
00014224,109.670000
00019140,109.670000
00025122,109.670000
00012057,109.700000
00001829,109.720000
00002681,109.790000
00000364,109.810000
00003245,109.830000
00001828,109.890000
00003134,109.920000
00000260,110.010000
00001750,110.020000
00001151,110.060000
00002661,110.190000
00005250,110.250000
00005807,110.470000
00001738,110.490000
00000510,110.580000
00000794,110.620000
00000876,110.640000
00004435,110.670000
00003151,110.780000
00002699,110.880000
00022798,110.900000
00001172,110.990000
00001810,111.010000
00000641,111.060000
00000373,111.070000
00012636,111.080000
00011897,111.110000
00010563,111.110000
00000351,111.110000
00000261,111.110000
00000263,111.110000
00000265,111.110000
00000592,111.110000
00001347,111.110000
00001469,111.110000
00001470,111.110000
00005201,111.110000
00005350,111.110000
00023717,111.110000
00009408,111.120000
00000668,111.250000
00014812,111.440000
00002492,111.520000
00000486,111.530000
00001764,111.600000
00018907,111.660000
00002694,111.760000
00000775,111.860000
00000892,111.860000
00000893,111.860000
00000894,111.860000
00000917,111.860000
00000920,111.860000
00000921,111.860000
00000928,111.860000
00000929,111.860000
00000930,111.860000
00000783,111.860000
00000837,111.860000
00005094,111.860000
00003491,111.860000
00003549,111.860000
00011078,111.860000
00002670,112.110000
00002690,112.180000
00005372,112.240000
00000967,112.480000
00002667,112.520000
00003058,112.540000
00000723,112.580000
00000632,112.670000
00001041,112.700000
00001042,112.700000
00005834,112.700000
00002696,112.730000
00026178,112.920000
00001495,112.960000
00001170,112.970000
00001167,112.970000
00023126,112.970000
00001197,113.000000
00001232,113.000000
00001258,113.000000
00001286,113.000000
